< 자동차 등록현황(총 계) >,,,,,,,,,,,,,,,,,,,,,,
조회년월: 2021.11,,,,,,,,,,,,,,,,,,,,,,
,,,,차 종 별,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,합계
,,,,피견인차(콘테이너샤시),428 ,9923 ,352 ,6608 ,1029 ,509 ,1683 ,36 ,4085 ,163 ,1131 ,1377 ,846 ,2545 ,1778 ,2228 ,25 ,34746 
,,,,피견인차(기타),2935 ,2614 ,1616 ,3501 ,1252 ,1361 ,1654 ,325 ,11094 ,1911 ,2972 ,3914 ,2150 ,3396 ,3546 ,2742 ,394 ,47377 
,,,화물특수용도형(기타),,40344 ,14881 ,17434 ,19081 ,9014 ,8946 ,5029 ,1517 ,88433 ,12751 ,12353 ,17334 ,13657 ,15277 ,22162 ,20556 ,6251 ,325020 
,특수자동차 합계,,,,9796 ,11417 ,4207 ,8237 ,3305 ,3188 ,3241 ,678 ,24679 ,4177 ,5152 ,6329 ,4715 ,8212 ,9037 ,9372 ,1724 ,117466 
,,구난차 계,,,746 ,491 ,300 ,437 ,275 ,262 ,198 ,60 ,2790 ,570 ,584 ,800 ,587 ,747 ,1301 ,974 ,250 ,11372 
,,,,구난차 5톤 이하,717 ,472 ,282 ,417 ,266 ,246 ,190 ,58 ,2610 ,537 ,540 ,760 ,565 ,728 ,1226 ,940 ,239 ,10793 
,,,,구난차 10톤 미만,24 ,9 ,12 ,6 ,4 ,7 ,3 ,2 ,115 ,13 ,25 ,18 ,11 ,13 ,45 ,18 ,5 ,330 
,,,,구난차 10톤 이상,5 ,10 ,6 ,14 ,5 ,9 ,5 ,  ,65 ,20 ,19 ,22 ,11 ,6 ,30 ,16 ,6 ,249 
,,견인차 계,,,1320 ,8077 ,814 ,4116 ,996 ,759 ,1588 ,68 ,4827 ,645 ,1731 ,1773 ,1398 ,4231 ,3478 ,3937 ,125 ,39883 
,,,,견인차 5톤 이하,37 ,55 ,6 ,16 ,17 ,13 ,9 ,  ,84 ,23 ,20 ,23 ,18 ,50 ,49 ,54 ,2 ,476 
,,,,견인차 10톤 미만,27 ,74 ,3 ,27 ,6 ,6 ,11 ,  ,131 ,2 ,3 ,5 ,15 ,40 ,9 ,23 ,  ,382 
,,,,견인차 10톤 이상,1256 ,7948 ,805 ,4073 ,973 ,740 ,1568 ,68 ,4612 ,620 ,1708 ,1745 ,1365 ,4141 ,3420 ,3860 ,123 ,39025 
,,특수용도형 계,,,7730 ,2849 ,3093 ,3684 ,2034 ,2167 ,1455 ,550 ,17062 ,2962 ,2837 ,3756 ,2730 ,3234 ,4258 ,4461 ,1349 ,66211 
,,,특수용도형(고소작업차),,2328 ,1147 ,1050 ,1498 ,825 ,843 ,558 ,153 ,6420 ,1310 ,1183 ,1492 ,1209 ,1360 ,1638 ,1971 ,833 ,25818 
,,,특수용도형(고가사다리소방차),,151 ,34 ,51 ,54 ,42 ,27 ,18 ,7 ,257 ,51 ,37 ,41 ,42 ,50 ,56 ,69 ,22 ,1009 
,,,특수용도형(오가크레인),,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,1 ,  ,  ,1 ,  ,  ,  ,2 
